CHURN_DATE,HEALTH_SCORE,HEALTH_SCORE_UPDATED_DATE,RELATIONSHIP_STRENGTH,SENTIMENT,LAST_ZENDESK_TICKET_DATE,NPS_SCORE,NPS_SCORE_DATE,LAST_LOGIN,IS_EDITED,IS_DELINQUENT,IS_CONCEPT,NUMBER_OF_CONCEPTS,NUMBER_OF_LOCATIONS,ANNUAL_REVENUE,ANNUAL_HOSPITALITY_GROUP_REVENUE,PARTNERSHIP,BILLING_CITY,BILLING_COUNTRY,BILLING_STATE,BUSINESS_MARKET,BUSINESS_TYPE,SERVICE_STYLE,NEW_OR_EXISTING,CUISINE,INTERESTED_IN_CATERING_STORE,INTERESTED_IN_ECOMMERCE,INTERESTED_IN_GIFT_CARDS,INTERESTED_IN_MENU_MANAGEMENT,INTERESTED_IN_MOBILE_WEB,INTERESTED_IN_SEO,CREATED_DATE,CUSTOMER_SINCE,CUSTOMER_WON_DATE,DATE_OF_FIRST_OPPORTUNITY,LAST_EDIT,LAUNCH_DATE,PAYMENT_PLAN,FREQUENCY,SUBSCRIPTION_ID,SUBSCRIPTION_ITEM_ID,PRODUCT_ID,PRODUCT_QUANTITY,PRODUCT_PRICE,START_DATE,END_DATE
,73,2019-11-08 00:31:00.000 +0000,Good,neutral,2019-11-05 19:54:48.000 +0000,10,2019-04-29 04:00:00.000 +0000,2019-11-18 05:00:00.000 +0000,TRUE,FALSE,1,1,1,4056,0,,Philadelphia,United States,Pennsylvania,Philadelphia,Restaurant,Fast Casual,Existing Establishment,American (Traditional),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2018-11-13 14:07:20.000 +0000,2018-11-28 00:00:00.000 +0000,2018-11-28 00:00:00.000 +0000,2018-11-13 14:07:22.000 +0000,2019-11-18 14:02:37.000 +0000,2019-04-15 00:00:00.000 +0000,Monthly,Monthly,sub_E3cpvGPbhWYXL9,si_E3cpsucoXGLgRq,addon_catering_store_monthly,1,139,2018-11-28 16:07:31.000 +0000,
,73,2019-11-08 00:31:00.000 +0000,Good,neutral,2019-11-05 19:54:48.000 +0000,10,2019-04-29 04:00:00.000 +0000,2019-11-18 05:00:00.000 +0000,TRUE,FALSE,1,1,1,4056,0,,Philadelphia,United States,Pennsylvania,Philadelphia,Restaurant,Fast Casual,Existing Establishment,American (Traditional),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2018-11-13 14:07:20.000 +0000,2018-11-28 00:00:00.000 +0000,2018-11-28 00:00:00.000 +0000,2018-11-13 14:07:22.000 +0000,2019-11-18 14:02:37.000 +0000,2019-04-15 00:00:00.000 +0000,Monthly,Monthly,sub_E3cpvGPbhWYXL9,si_E3cpSjCw4yRknW,base_plus_monthly,1,199,2018-11-28 16:07:31.000 +0000,
,50,2019-11-08 00:31:00.000 +0000,Neutral,,,,,2019-11-18 05:00:00.000 +0000,FALSE,FALSE,1,,1,1188,7140,,New York,United States,New York,New York (City),Restaurant,Full Service - Fine Dining,Existing Establishment,American (New),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-04 16:40:52.000 +0000,2015-11-12 00:00:00.000 +0000,2015-11-12 00:00:00.000 +0000,2016-08-20 18:22:49.000 +0000,2019-11-17 00:00:07.000 +0000,2016-10-31 00:00:00.000 +0000,Monthly,Monthly,sub_9OtLNjGdGik2ge,si_FkYuZKZWOAhqdC,base_plus_monthly,1,199,2019-09-04 19:05:07.000 +0000,
,50,2019-11-08 00:31:00.000 +0000,Neutral,,,,,2019-11-18 05:00:00.000 +0000,FALSE,FALSE,1,,1,1188,7140,,New York,United States,New York,New York (City),Restaurant,Full Service - Fine Dining,Existing Establishment,American (New),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-04 16:40:52.000 +0000,2015-11-12 00:00:00.000 +0000,2015-11-12 00:00:00.000 +0000,2016-08-20 18:22:49.000 +0000,2019-11-17 00:00:07.000 +0000,2016-10-31 00:00:00.000 +0000,Monthly,Monthly,sub_9OtLNjGdGik2ge,si_1965Ys2vS2BuzRKbWsoEErwQ,baby,1,99,2016-10-18 21:55:55.000 +0000,2019-09-18 21:55:54.000 -0700
,86,2019-11-08 00:31:00.000 +0000,Good,neutral,2019-07-29 17:01:59.000 +0000,,,2019-07-24 04:00:00.000 +0000,TRUE,FALSE,1,,1,1908,3816,US Foods,South Bend,United States,Indiana,Indiana,Restaurant,Full Service - Fine Dining,Existing Establishment,American (Traditional),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-08-10 14:08:17.000 +0000,2017-08-22 00:00:00.000 +0000,2017-08-22 00:00:00.000 +0000,2017-08-10 14:08:18.000 +0000,2019-07-23 14:39:09.000 +0000,2017-10-24 00:00:00.000 +0000,Monthly,Monthly,sub_BGEa6oquQ3Wrhh,si_1Ati6w2vS2BuzRKbP1djq3kT,plus,1,199,2017-08-22 19:32:26.000 +0000,
,64,2019-11-08 00:31:00.000 +0000,Good,,,,,2019-11-18 05:00:00.000 +0000,FALSE,FALSE,1,1,1,1188,0,US Foods,Walhalla,United States,North Dakota,,Restaurant,Full Service - Casual,Existing Establishment,"[""Diner"",""Sandwiches"",""American"",""Frozen Yogurt"",""Ice Cream""",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-04-08 20:14:36.000 +0000,2019-04-16 00:00:00.000 +0000,2019-04-16 00:00:00.000 +0000,2019-04-08 20:14:37.000 +0000,2019-07-25 12:56:39.000 +0000,2019-05-17 00:00:00.000 +0000,,Monthly,sub_EtPCVOt1zlHjQj,si_EtPCa20beFeuxV,base_essentials_monthly,1,119,2019-04-15 21:30:52.000 +0000,
,71,2019-11-08 00:31:00.000 +0000,Neutral,neutral,2019-11-13 17:54:40.000 +0000,,,2019-11-18 05:00:00.000 +0000,TRUE,FALSE,1,1,3,2388,0,,Vancouver,Canada,British Columbia,International (Non-US),Restaurant,Full Service - Casual,Existing Establishment,Other,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2019-02-04 16:49:12.000 +0000,2019-02-14 00:00:00.000 +0000,2019-02-14 00:00:00.000 +0000,2019-02-04 16:49:13.000 +0000,2019-11-18 14:13:36.000 +0000,2019-05-09 00:00:00.000 +0000,Monthly,Monthly,sub_EWvgOoZikMZEzh,si_EWvgx31Fx8XTM7,base_plus_monthly,1,199,2019-02-14 21:32:32.000 +0000,
,40,2019-08-12 07:00:00.000 +0000,Neutral,,,,,2019-08-29 04:00:00.000 +0000,FALSE,FALSE,1,1,1,1428,0,,NEW YORK,United States,New York,,Cafe / Coffee Shop,Fast Casual,Existing Establishment,Coffee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-03-12 16:11:24.000 +0000,2019-03-13 00:00:00.000 +0000,2019-03-13 00:00:00.000 +0000,2019-03-12 16:11:26.000 +0000,,,Monthly,Monthly,sub_EgwBwXpHj64O6R,si_EgwB2ioLL19ETe,base_essentials_monthly,1,119,2019-03-13 14:43:42.000 +0000,
,,,,,,,,2019-11-16 05:00:00.000 +0000,TRUE,FALSE,1,2,1,,0,,New York,United States,New York,,Restaurant,Full Service - Fine Dining,New Opening,Italian,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-08-22 20:13:24.000 +0000,2019-08-26 00:00:00.000 +0000,2019-08-26 00:00:00.000 +0000,2019-08-22 20:13:25.000 +0000,2019-11-16 13:49:19.000 +0000,,Monthly,Monthly,sub_FhBj27mUBprBSg,si_FhBjkg6PiKG1za,base_plus_monthly,1,199,2019-08-26 18:56:11.000 +0000,
,61,2019-11-08 00:31:00.000 +0000,Neutral,neutral,2019-11-01 20:19:49.000 +0000,7,2019-04-23 04:00:00.000 +0000,2019-11-18 05:00:00.000 +0000,FALSE,FALSE,1,,2,2388,0,,New York,United States,New York,New York City (East),Restaurant,Full Service - Casual,Existing Establishment,Indian,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-08-22 21:41:51.000 +0000,2017-08-28 00:00:00.000 +0000,2017-08-28 00:00:00.000 +0000,2017-08-22 21:43:45.000 +0000,2019-11-01 19:54:40.000 +0000,2018-02-27 00:00:00.000 +0000,Monthly,Monthly,sub_BIRAE1fhw3vOik,si_1BEj332vS2BuzRKbRiH2Xrxk,plus,1,199,2017-10-19 18:47:17.000 +0000,
,,,,,,,,,FALSE,FALSE,1,1,1,,0,,Palm Beach Gardens,United States,Florida,,Restaurant,Full Service - Casual,New Opening,American (New),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-08-16 16:15:00.000 +0000,2019-08-21 00:00:00.000 +0000,2019-08-21 00:00:00.000 +0000,2019-08-16 16:15:02.000 +0000,,,Monthly,Monthly,sub_FfKXlQDZ752qdG,si_FfKXTfuOFfBHz3,base_plus_monthly,1,199,2019-08-21 19:53:47.000 +0000,
,40,2019-11-08 00:31:00.000 +0000,Neutral,,2018-12-18 16:17:23.000 +0000,,,2019-05-09 04:00:00.000 +0000,FALSE,FALSE,1,,1,1908,0,US Foods,Champaign,United States,Illinois,Chicago,Restaurant,Other,Existing Establishment,Other,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-01-30 17:42:21.000 +0000,2017-03-06 00:00:00.000 +0000,2017-03-06 00:00:00.000 +0000,2017-01-30 17:43:46.000 +0000,2019-05-09 21:01:45.000 +0000,2018-03-05 00:00:00.000 +0000,Monthly,Annual,sub_CRJ19VfmL5c6k9,si_CRJ1rVFF67ykoj,plus_yearly,1,2148,2018-03-05 21:00:08.000 +0000,
,75,2019-11-08 00:31:00.000 +0000,Neutral,neutral,2019-10-10 23:13:19.000 +0000,10,2019-10-01 04:00:00.000 +0000,2019-11-17 05:00:00.000 +0000,TRUE,FALSE,1,1,1,2388,0,,Port Chester,United States,New York,New York - Westchester,Restaurant,Full Service - Casual,Existing Establishment,Seafood,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-06-13 22:03:16.000 +0000,2019-06-13 00:00:00.000 +0000,2019-06-13 00:00:00.000 +0000,2019-06-13 22:03:18.000 +0000,2019-11-17 20:12:23.000 +0000,2019-09-13 00:00:00.000 +0000,Monthly,Monthly,sub_FFWGzbh576U3v6,si_FFWGtqxpLFlBMa,base_plus_monthly,1,199,2019-06-13 22:17:09.000 +0000,
,64,2019-11-08 00:31:00.000 +0000,Neutral,neutral,2019-11-01 19:55:00.000 +0000,,,2019-11-12 05:00:00.000 +0000,TRUE,FALSE,1,,1,2976,0,,San Francisco,United States,California,San Francisco,Restaurant,Full Service - Casual,Existing Establishment,Italian,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2018-07-12 19:14:19.000 +0000,2018-07-12 00:00:00.000 +0000,2018-07-12 00:00:00.000 +0000,2018-07-12 22:25:49.000 +0000,2019-11-12 20:09:48.000 +0000,2018-10-02 00:00:00.000 +0000,Monthly,Monthly,sub_DGZc7PFYJjOkEV,si_DGZcRIInhLW2Rn,plus,1,199,2018-07-20 17:32:54.000 +0000,
,64,2019-11-08 00:31:00.000 +0000,Neutral,neutral,2019-11-01 19:55:00.000 +0000,,,2019-11-12 05:00:00.000 +0000,TRUE,FALSE,1,,1,2976,0,,San Francisco,United States,California,San Francisco,Restaurant,Full Service - Casual,Existing Establishment,Italian,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2018-07-12 19:14:19.000 +0000,2018-07-12 00:00:00.000 +0000,2018-07-12 00:00:00.000 +0000,2018-07-12 22:25:49.000 +0000,2019-11-12 20:09:48.000 +0000,2018-10-02 00:00:00.000 +0000,Monthly,Monthly,sub_DGZc7PFYJjOkEV,si_DgQX3KUwM93Jjg,addon_localsync_monthly,1,49,2018-09-27 17:53:30.000 +0000,
,60,2019-11-08 00:31:00.000 +0000,Neutral,,2018-06-20 22:35:23.000 +0000,,,2019-11-18 05:00:00.000 +0000,TRUE,FALSE,1,,8,4548,0,US Foods,Rolling Meadows,United States,Illinois,Chicago,Catering,Other,Existing Establishment,American (Traditional),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-07-24 14:41:02.000 +0000,2017-08-21 00:00:00.000 +0000,2017-08-21 00:00:00.000 +0000,2017-07-24 14:44:52.000 +0000,2019-11-18 12:53:26.000 +0000,2017-11-22 00:00:00.000 +0000,Monthly,Monthly,sub_BFmggZn0ku3yME,si_D0ssRssi2OYzlZ,platinum,1,479,2018-06-08 20:23:02.000 +0000,
