SUBSCRIPTION_ID,RELATIONSHIP_STRENGTH,SENTIMENT,NPS_SCORE,IS_DELINQUENT,NUMBER_OF_LOCATIONS,ANNUAL_REVENUE,PARTNERSHIP,BILLING_CITY,BUSINESS_TYPE,CUISINE,PAYMENT_PLAN,CHURN_DATE
sub_E3cpvGPbhWYXL9,Good,neutral,10,FALSE,1,4056,,Philadelphia,Restaurant,American (Traditional),Monthly,
sub_9OtLNjGdGik2ge,Neutral,,,FALSE,1,1188,,New York,Restaurant,American (New),Monthly,
sub_BGEa6oquQ3Wrhh,Good,neutral,,FALSE,1,1908,US Foods,South Bend,Restaurant,American (Traditional),Monthly,
sub_EtPCVOt1zlHjQj,Good,,,FALSE,1,1188,US Foods,Walhalla,Restaurant,"[""Diner"",""Sandwiches"",""American"",""Frozen Yogurt"",""Ice Cream""",,
sub_EWvgOoZikMZEzh,Neutral,neutral,,FALSE,3,2388,,Vancouver,Restaurant,Other,Monthly,
sub_EgwBwXpHj64O6R,Neutral,,,FALSE,1,1428,,NEW YORK,Cafe / Coffee Shop,Coffee,Monthly,
sub_FhBj27mUBprBSg,,,,FALSE,1,,,New York,Restaurant,Italian,Monthly,
sub_BIRAE1fhw3vOik,Neutral,neutral,7,FALSE,2,2388,,New York,Restaurant,Indian,Monthly,
sub_FfKXlQDZ752qdG,,,,FALSE,1,,,Palm Beach Gardens,Restaurant,American (New),Monthly,
sub_CRJ19VfmL5c6k9,Neutral,,,FALSE,1,1908,US Foods,Champaign,Restaurant,Other,Monthly,
sub_FFWGzbh576U3v6,Neutral,neutral,10,FALSE,1,2388,,Port Chester,Restaurant,Seafood,Monthly,
sub_DGZc7PFYJjOkEV,Neutral,neutral,,FALSE,1,2976,,San Francisco,Restaurant,Italian,Monthly,
sub_BFmggZn0ku3yME,Neutral,,,FALSE,8,4548,US Foods,Rolling Meadows,Catering,American (Traditional),Monthly,
sub_80jo47uci3J4xi,Neutral,neutral,4,FALSE,1,2388,,New York,Restaurant,Italian,Monthly,
sub_EZt2TdmtqJhpZz,Neutral,positive,5,FALSE,6,4056,,Los Angeles,Restaurant,Mexican,Monthly,2019-10-25 00:00:00.000 +0000
sub_DvpyxCavtec2P6,Good,,10,FALSE,1,2388,,Philadelphia,Brewery / Winery,Burgers,Monthly,
sub_ELoN915zTsNZme,Neutral,neutral,,FALSE,4,2388,,Westborough,Restaurant,"[""Indian"",""Asian"",""Fusion"",""Salad""]",Monthly,
sub_GAjOITcqx0hAL9,,,,FALSE,1,,,Royal Palm Beach,Brewery / Winery,American (New),Monthly,
sub_8tkQGZCvUFBhzR,Good,,,FALSE,1,1188,,Boston,Bar,American (Traditional),Monthly,
sub_FPui0rKYmn2vlE,,,10,FALSE,1,2388,,Swansea,Restaurant,Barbecue,Monthly,
sub_8BghQEW5dpMSCY,Good,,9,FALSE,1,1428,,Minneapolis,Restaurant,Pizza,Yearly,
sub_EwKlsKVtNUkLzo,Good,neutral,,FALSE,3,7728,,Denver,Restaurant,"Contemporary American, Vegetarian / Vegan, Southern",Monthly,
sub_8VoVqQAIx04o3M,Neutral,,,FALSE,5,2388,,New York,Restaurant,Deli / Sandwiches,Monthly,
sub_8amI7PIUmfFVME,Neutral,neutral,10,FALSE,1,948,US Foods,Troutman,Restaurant,Italian,Monthly,
sub_EMkLUCXqHQWBO7,Neutral,,,FALSE,1,2388,,Chicago,Restaurant,American (New),Monthly,
sub_CByBnhdvNL4J5H,Neutral,,,FALSE,1,948,US Foods,Akron,Bar,American (Traditional),Monthly,2018-01-23 00:00:00.000 +0000
sub_G5TglanzOwSF82,,,,FALSE,1,,US Foods,Mystic River,Restaurant,Asian,Monthly,
sub_BAuvG6E6DNx03Y,Neutral,,,FALSE,1,1428,,Cypress,Restaurant,Thai,Monthly,
sub_EVpQ1a0YbTJc89,Neutral,,,FALSE,1,2016,,Newark,Restaurant,Pizza,Monthly,
sub_D7DJHlgsZSL16e,Neutral,,,FALSE,1,3948,,Santa Monica,Food Truck,Fast Food,Monthly,
sub_BUUavWnjLjIvai,Neutral,,,FALSE,2,2388,,Montgomery,Restaurant,Mexican,Monthly,2017-09-06 00:00:00.000 +0000
sub_7Yc2awT4pr2bSi,Good,,,FALSE,1,1188,,Littleton,Restaurant,American (Traditional),,
sub_A0G1NcmDESQb1W,Good,,,FALSE,1,1428,,Brooklyn,Restaurant,American (New),Monthly,
sub_Bymvrwc8HfCPNj,Neutral,neutral,,FALSE,1,1896,US Foods,Tulsa,Restaurant,Mexican,Monthly,
sub_E89L57tylZydqK,Neutral,positive,,FALSE,1,2388,,Washington,Restaurant,European,Monthly,
sub_FINpTd0ol7j8a8,Neutral,,,FALSE,,2149,,New Orleans,Cafe / Coffee Shop,American (New),Yearly,
sub_CXmJOk5v1mN3M6,Neutral,,6,FALSE,1,1188,US Foods,Greenfield,Restaurant,American (Traditional),Monthly,
sub_8ZAAk76MHKJULE,Good,,,FALSE,5,1428,,Columbus,Restaurant,American (New),Monthly,
sub_AAOgvss9Q3FfaM,Neutral,,,FALSE,1,2388,,Miami,Food Truck,American (New),Monthly,
sub_854Bw24Yl3VAJN,Neutral,,,FALSE,1,1188,,Pittsburgh,Restaurant,American (New),Monthly,
sub_DNjx9bCkvnI7tN,Good,,,FALSE,1,2148,US Foods,Bentonville,Restaurant,American (New),Monthly,
sub_DQgLGISRIuhdBJ,Neutral,neutral,5,FALSE,4,1908,US Foods,Columbia Heights,Restaurant,Mexican,Monthly,
sub_Cfq2Sv9AoTuXXO,Neutral,,,FALSE,1,2148,,Flowood,Restaurant,American (New),Yearly,
sub_DijxbXHz15GBEX,Neutral,positive,,FALSE,1,2149,,Lovettsville,Restaurant,American (Traditional),Yearly,
sub_B03ChOZqOBgqKy,Neutral,neutral,,FALSE,1,2388,,Boston,Restaurant,American,Monthly,
sub_E40APsix83mqyf,Neutral,,7,FALSE,1,3564,,Washington,Restaurant,Italian,,
sub_DoHt74gpRjaW7F,Neutral,,,FALSE,4,2388,,Chicago,Restaurant,American (Traditional),Monthly,
sub_CcVD5MhvxHjLez,Good,neutral,,FALSE,5,1908,US Foods,Philadelphia,Restaurant,Breakfast / Brunch,Yearly,
sub_EoUwuhC7PkBZxS,Neutral,neutral,,FALSE,4,4056,,Kelowna,Restaurant,Baked Goods / Confections,,
sub_FiGQrqmaJMW8NZ,,,,FALSE,1,,,West Palm Beach,Restaurant,Indian,Monthly,
sub_BRwof4zlmQbbUd,Neutral,,9,FALSE,1,1428,,Long Beach,Restaurant,Pizza,Monthly,
sub_8YNRXkGxPbZJnc,Good,positive,,FALSE,2,2148,,New York,Restaurant,American (New),Yearly,
sub_7GC6j0cFhtWnCd,Neutral,positive,,FALSE,4,1188,,Brooklyn,Bakery / Confectionary,Baked Goods / Confections,Monthly,
sub_952tDA7HY6wlTk,Good,,,FALSE,1,2148,,Poughkeepsie,Restaurant,American (New),Monthly,
sub_Chf0q1t4qS0NuZ,Neutral,,,FALSE,1,948,US Foods,Glennville,Restaurant,American (Traditional),Monthly,2018-04-13 00:00:00.000 +0000
sub_FlH17tqrNMRmAf,Good,,,FALSE,4,,,Dallas,Restaurant,"[""Tex Mex"",""Mexican"",""Southwestern""]",,
sub_G7meBx6FpBsNog,,,,FALSE,,,US Foods,Bessemer,Restaurant,Mexican,Monthly,
sub_E13S2882XdcCy5,Neutral,,,TRUE,1,2496,US Foods,Laguna Hills,Restaurant,Steakhouse,Monthly,
sub_9mqvGiLuli2M7y,Neutral,,,FALSE,1,348,US Foods,South Bend,Restaurant,Other,Monthly,
sub_D2JDyNRVN0piqO,Good,neutral,,FALSE,1,4056,,New York,Restaurant,Southern / Creole,Monthly,
sub_ERjBcTiniUZlgr,Neutral,positive,9,FALSE,3,9516,,Santa Rosa Beach,Restaurant,"[""Cafe"",""American"",""Sandwiches"",""Subs"",""Vegan""]",Monthly,
sub_EVoFJ6p1ywhriw,Neutral,,,FALSE,1,2388,,New York,Restaurant,American (Traditional),Monthly,
sub_C7P2sHD3B5kgBz,Neutral,neutral,,FALSE,1,2388,,San Francisco,Restaurant,Bar - Traditional,Yearly,
sub_AsGvavPziMghGr,Neutral,neutral,,FALSE,6,4188,,Washington,Bakery / Confectionary,Ice Cream,Monthly,
sub_FKEi0Ouk3uYdeN,Good,neutral,,FALSE,1,1908,US Foods,Boston,Restaurant,Southern / Creole,,
sub_EpFhBX9uTEzH1b,Neutral,,10,FALSE,1,1188,US Foods,Jensen Beach,Restaurant,American (New),Monthly,
sub_Fwy0HlM1ptlJUQ,Good,,,FALSE,3,,,Santa Barbara,Cafe / Coffee Shop,Deli / Sandwiches,Yearly,
sub_DUnbWu7Z8f9hJq,Neutral,neutral,,FALSE,9,2388,,New York,Bakery / Confectionary,Ice Cream,Monthly,
sub_Ex4uqp7uZtFQ32,Neutral,neutral,,FALSE,2,2388,,New York,Restaurant,Japanese,Monthly,
sub_D1z63b7fkPQ3DV,Neutral,,,FALSE,1,2976,,Destin,Restaurant,Seafood,,
sub_Be7fprEMb3GJCC,Good,,,FALSE,1,1188,,New York,Restaurant,American (New),Yearly,
sub_FUR6ZDBj3vM9Vj,Good,,,FALSE,4,4056,,Hollywood,Restaurant,Vegetarian / Vegan / Gluten-Free / Healthy / Organic,Monthly,
sub_DqrMgJt80p8p62,Good,,,FALSE,1,2149,,Deerfield Beach,Restaurant,Seafood,Yearly,
sub_7TLfsUvmNQ9Bcf,Neutral,neutral,10,FALSE,1,4296,,Minneapolis,Restaurant,American (New),Monthly,
sub_At2Sc5wQqBWwXH,Good,neutral,,FALSE,1,2052,,New York,Restaurant,Italian,Yearly,
sub_Ckn5F2xSQvz1Ni,Good,neutral,10,FALSE,1,1188,US Foods,Golden Valley,Bar,Sports Bar,Monthly,
sub_FXOxp7QtIoaZwY,,,,FALSE,4,,,Venice,Bakery / Confectionary,Ice Cream,Monthly,
sub_AwIIsUcTK6VzFM,Neutral,,,FALSE,1,2388,,Ottawa,Restaurant,Asian Fusion,Monthly,
sub_FuJjTkHmkNjL03,Neutral,,,FALSE,1,,,New York,Food Consultant,Other,Monthly,
sub_FuEalSVJJLNLjc,Neutral,,,FALSE,1,,,New York,Food Consultant,Other,Monthly,
sub_ETvivEW823AlRQ,Neutral,,,FALSE,1,1908,US Foods,Fullerton,Restaurant,Bar - Traditional,Monthly,
